Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,1028.6114252963,854.3009452511,904.2691551558,565.0980625673,1053.3016426926,1276.9110831256,1334.9116476746,1234.6551915859,1452.4310077463,1752.3952775472,1910.9620524694,1826.4965699771,1881.1636491195,2091.6272744933,2100.6025207732,2206.3957620001,2802.2247941316,2924.8201669571,3093.9782453687,3945.8151254683,5172.3369070403,5280.5881559423,5671.309117307,8652.2370400025,9326.2871440363,10405.4132375101,9724.3799719233,10412.7140028964
Libya,. .,. .,. .,. .,. .,. .,. .,. .,. .,1251.9908172875,1443.6217582671,1153.4870884908,1085.5346648705,819.7479936007,452.5136147575,541.4017665166,685.073220074,690.9307693484,614.3562962004,639.1370461889,1100.0686521299,. .,. .,. .,2987.4134077327,. .,3288.8242690978,. .
Morocco,917.2691447957,990.555090202,1069.7204919962,1148.4457104134,1228.5265528756,1251.7865381327,1365.2500187445,1437.8987007391,1447.1286892431,1400.9495009505,1444.9597164639,1207.5166098556,859.1514832104,1470.3176147925,1474.8743262617,1819.23007025,1937.5238215521,2031.1313805625,2134.5948760628,2408.3502495627,2944.958472736,3055.0694418587,3160.8048320336,3342.6989556075,3402.7008358406,4065.5523169353,4048.61092937,3268.246403025
Tunisia,232.9203407771,234.062029598,247.8558815392,260.4310306601,289.6771151687,276.1671349154,297.0688547279,342.9024583664,397.4695091883,358.1665777505,365.8493747365,357.0133953786,332.3897627455,335.6479068054,345.4242366694,407.3855610574,444.6514167342,468.4645799773,497.212663972,490.6505587813,578.911487331,564.7759337021,571.1890456895,715.2395970961,681.2259506111,759.3588812428,921.7873804251,979.5065393855
Angola,1469.3829801457,1948.5593956815,1751.1531519487,1031.2477880443,794.1388211617,1774.3978768274,. .,233.8437148893,159.7419334682,456.7804750262,170.2782925687,1066.5887892329,583.6213335989,404.2991399907,438.6862454112,670.0211644325,817.5335821521,1365.0553986904,1970.3091151838,2032.4328834343,3163.591147409,3311.1932452772,3500.7948364465,3639.4963735446,4144.6348514686,6090.7517020088,6841.8644843186,3601.0504269695
Benin,36.931589267,28.5259303842,32.8172919766,. .,. .,. .,. .,. .,. .,. .,. .,17.8431343887,14.4962751553,13.1125356223,26.0004476404,34.5440467997,41.7804783403,44.7060295601,46.7861309262,. .,64.7246011099,. .,. .,. .,78.2230910412,86.0031576391,92.9907061881,90.8882714586
Botswana,93.7470947561,102.7984157944,156.2508398415,172.2691881517,177.9860456077,185.6714828709,170.4337623154,165.8739778011,140.5601347693,160.5076751142,181.0510473558,169.578756163,184.7183946121,210.3220935568,223.5492588261,301.0143577788,314.0388971401,283.8357451055,272.9342747538,306.4514027126,332.4002542897,330.1472787395,348.6727252923,369.7954444418,333.4365820814,298.4613479606,378.7845028119,402.4029308836
Burkina Faso,57.1868872714,66.8165061691,84.4655023598,69.5055422233,71.1166185604,60.5269756289,30.259093488,36.8628142355,37.1418741399,38.5492462337,39.494738555,41.741175477,36.6585390519,36.832965231,42.468449959,50.7570543703,65.684242407,73.8433421554,72.6328673335,107.8167284624,116.9995868738,127.3332966246,123.7004746839,138.8508602018,147.7277401587,159.5336410007,204.1726080317,. .
Burundi,34.2554934293,37.9032817158,39.6023473767,42.7517588272,38.986476431,36.2674025867,41.9097450349,42.1089298798,50.8939807826,61.8701238254,58.7360362332,50.5711882632,42.3215522158,53.2303731064,44.9100670535,43.4132013079,44.872377146,49.5571293848,44.7175020415,46.3087062216,43.8563199487,. .,. .,. .,58.9666622762,60.8595000932,62.1772947391,66.3538472308
Cameroon,154.3706857189,146.8693575083,180.577745946,178.1983431818,183.7966391126,168.1752206326,94.5173404418,113.5755327077,116.9363036407,118.7111188019,137.2459115318,144.7046365188,123.0343438543,124.3017083675,145.6266105012,188.4996558844,221.1079246997,223.084623143,256.9278433323,296.698917305,346.5861256574,343.2651539859,354.054397842,347.4778856709,354.4474631116,392.8406606752,401.5290798216,353.7852916314
